KeyGroup,KeyKBD,Xpos,Ypos,KeyCodes
Functions,F1,2,0,59
Functions,F2,3,0,60
Functions,F3,4,0,61
Functions,F4,5,0,62
Functions,F5,7,0,63
Functions,F6,8,0,64
Functions,F7,9,0,65
Functions,F8,10,0,66
Functions,F9,12,0,67
Functions,F10,13,0,68
Functions,F11,14,0,87
Functions,F12,15,0,88
MainNums,1,2,1,2
MainNums,2,3,1,3
MainNums,3,4,1,4
MainNums,4,5,1,5
MainNums,5,6,1,6
MainNums,6,7,1,7
MainNums,7,8,1,8
MainNums,8,9,1,9
MainNums,9,10,1,10
MainNums,0,11,1,11
MainNums,-,12,1,12
MainNums,=,13,1,13
Main,q,2,2,16
Main,w,3,2,17
Main,e,4,2,18
Main,r,5,2,19
Main,t,6,2,20
Main,y,7,2,21
Main,u,8,2,22
Main,i,9,2,23
Main,o,10,2,24
Main,p,11,2,25
Main,[,12,2,26
Main,],13,2,27
Main,a,2,3,30
Main,s,3,3,31
Main,d,4,3,32
Main,f,5,3,33
Main,g,6,3,34
Main,h,7,3,35
Main,j,8,3,36
Main,k,9,3,37
Main,l,10,3,38
Main,;,11,3,39
Main,',12,3,40
Main,\,13,3,0
Main,z,3,4,44
Main,x,4,4,45
Main,c,5,4,46
Main,v,6,4,47
Main,b,7,4,48
Main,n,8,4,49
Main,m,9,4,50
Main,",",10,4,51
Main,.,11,4,52
Main,/,12,4,53
MainSide,ESC,0,0,1
MainSide,Tilde,0,1,41
MainSide,Tab,0,2,15
MainSide,Caps,0,3,58
MainSide,BckSpc,15,1,14
MainSide,Enter,15,2,284
Modifiers,Shift,0,4,42
Modifiers,RShift,15,4,310
Modifiers,Ctrl,0,5,29
Modifiers,RCtrl,15,5,285
Modifiers,ALT,3,5,56
Modifiers,Ralt,11,5,312
Modifiers,Space,6,5,57
Extra,PrntScrn,17,0,311
Extra,ScrlLk,18,0,70
Extra,Pause,19,0,325
Extra,Insert,17,1,338
Extra,Home,18,1,327
Extra,PageUp,19,1,329
Extra,Delete,17,2,339
Extra,End,18,2,335
Extra,PageDn,19,2,337
Arrows,UpArr,18,4,328
Arrows,DnArr,18,5,336
Arrows,LftArr,17,5,331
Arrows,RgtArr,19,5,333
NumPad,Nm0,21,5,82
NumPad,Nm1,21,4,79
NumPad,Nm2,22,4,80
NumPad,Nm3,23,4,81
NumPad,Nm4,21,3,75
NumPad,Nm5,22,3,76
NumPad,Nm6,23,3,77
NumPad,Nm7,21,2,71
NumPad,Nm8,22,2,72
NumPad,Nm9,23,2,73
NumPad,Nm/,22,1,309
NumPad,Nm*,23,1,82
NumPad,Nm-,24,1,74
NumPad,Nm+,24,2,78
NumPad,NmLck,21,1,325
NumPad,NmEntr,24,4,284
NumPad,Nm.,23,5,83
